age,frailty
0,0.22185
0.1,0.221616
0.2,0.221382
0.3,0.221148
0.4,0.220914
0.5,0.22068
0.6,0.220446
0.7,0.220212
0.8,0.219978
0.9,0.219744
1,0.21951
1.1,0.219276
1.2,0.219042
1.3,0.218808
1.4,0.218574
1.5,0.21834
1.6,0.218106
1.7,0.217872
1.8,0.217638
1.9,0.217404
2,0.21717
2.1,0.216936
2.2,0.216702
2.3,0.216468
2.4,0.216234
2.5,0.216
2.6,0.215766
2.7,0.215532
2.8,0.215298
2.9,0.215064
3,0.21483
3.1,0.214596
3.2,0.214362
3.3,0.214128
3.4,0.213894
3.5,0.21366
3.6,0.213426
3.7,0.213192
3.8,0.212958
3.9,0.212724
4,0.21249
4.1,0.212256
4.2,0.212022
4.3,0.211788
4.4,0.211554
4.5,0.21132
4.6,0.211086
4.7,0.210852
4.8,0.210618
4.9,0.210384
5,0.21015
5.1,0.209916
5.2,0.209682
5.3,0.209448
5.4,0.209214
5.5,0.20898
5.6,0.208746
5.7,0.208512
5.8,0.208278
5.9,0.208044
6,0.20781
6.1,0.207576
6.2,0.207342
6.3,0.207108
6.4,0.206874
6.5,0.20664
6.6,0.206406
6.7,0.206172
6.8,0.205938
6.9,0.205704
7,0.20547
7.1,0.205236
7.2,0.205002
7.3,0.204768
7.4,0.204534
7.5,0.2043
7.6,0.204066
7.7,0.203832
7.8,0.203598
7.9,0.203364
8,0.20313
8.1,0.202896
8.2,0.202662
8.3,0.202428
8.4,0.202194
8.5,0.20196
8.6,0.201726
8.7,0.201492
8.8,0.201258
8.9,0.201024
9,0.20079
9.1,0.200556
9.2,0.200322
9.3,0.200088
9.4,0.199854
9.5,0.19962
9.6,0.199386
9.7,0.199152
9.8,0.198918
9.9,0.198684
10,0.19845
10.1,0.198216
10.2,0.197982
10.3,0.197748
10.4,0.197514
10.5,0.19728
10.6,0.197046
10.7,0.196812
10.8,0.196578
10.9,0.196344
11,0.19611
11.1,0.195876
11.2,0.195642
11.3,0.195408
11.4,0.195174
11.5,0.19494
11.6,0.194706
11.7,0.194472
11.8,0.194238
11.9,0.194004
12,0.19377
12.1,0.193536
12.2,0.193302
12.3,0.193068
12.4,0.192834
12.5,0.1926
12.6,0.192366
12.7,0.192132
12.8,0.191898
12.9,0.191664
13,0.19143
13.1,0.191196
13.2,0.190962
13.3,0.190728
13.4,0.190494
13.5,0.19026
13.6,0.190026
13.7,0.189792
13.8,0.189558
13.9,0.189324
14,0.18909
14.1,0.188856
14.2,0.188622
14.3,0.188388
14.4,0.188154
14.5,0.18792
14.6,0.187686
14.7,0.187452
14.8,0.187218
14.9,0.186984
15,0.18675
15.1,0.186516
15.2,0.186282
15.3,0.186048
15.4,0.185814
15.5,0.18558
15.6,0.185346
15.7,0.185112
15.8,0.184878
15.9,0.184644
16,0.18441
16.1,0.184176
16.2,0.183942
16.3,0.183708
16.4,0.183474
16.5,0.18324
16.6,0.183006
16.7,0.182772
16.8,0.182538
16.9,0.182304
17,0.18207
17.1,0.181836
17.2,0.181602
17.3,0.181368
17.4,0.181134
17.5,0.1809
17.6,0.180666
17.7,0.180432
17.8,0.180198
17.9,0.179964
18,0.17973
18.1,0.179496
18.2,0.179262
18.3,0.179028
18.4,0.178794
18.5,0.17856
18.6,0.178326
18.7,0.178092
18.8,0.177858
18.9,0.177624
19,0.17739
19.1,0.177156
19.2,0.176922
19.3,0.176688
19.4,0.176454
19.5,0.17622
19.6,0.175986
19.7,0.175752
19.8,0.175518
19.9,0.175284
20,0.17505
20.1,0.174816
20.2,0.174582
20.3,0.174348
20.4,0.174114
20.5,0.17388
20.6,0.173646
20.7,0.173412
20.8,0.173178
20.9,0.172944
21,0.17271
21.1,0.172476
21.2,0.172242
21.3,0.172008
21.4,0.171774
21.5,0.17154
21.6,0.171306
21.7,0.171072
21.8,0.170838
21.9,0.170604
22,0.17037
22.1,0.170136
22.2,0.169902
22.3,0.169668
22.4,0.169434
22.5,0.1692
22.6,0.168966
22.7,0.168732
22.8,0.168498
22.9,0.168264
23,0.16803
23.1,0.167796
23.2,0.167562
23.3,0.167328
23.4,0.167094
23.5,0.16686
23.6,0.166626
23.7,0.166392
23.8,0.166158
23.9,0.165924
24,0.16569
24.1,0.165456
24.2,0.165222
24.3,0.164988
24.4,0.164754
24.5,0.16452
24.6,0.164286
24.7,0.164052
24.8,0.163818
24.9,0.163584
25,0.16335
25.1,0.163116
25.2,0.162882
25.3,0.162648
25.4,0.162414
25.5,0.16218
25.6,0.161946
25.7,0.161712
25.8,0.161478
25.9,0.161244
26,0.16101
26.1,0.160776
26.2,0.160542
26.3,0.160308
26.4,0.160074
26.5,0.15984
26.6,0.159606
26.7,0.159372
26.8,0.159138
26.9,0.158904
27,0.15867
27.1,0.158436
27.2,0.158202
27.3,0.157968
27.4,0.157734
27.5,0.1575
27.6,0.157266
27.7,0.157032
27.8,0.156798
27.9,0.156564
28,0.15633
28.1,0.156096
28.2,0.155862
28.3,0.155628
28.4,0.155394
28.5,0.15516
28.6,0.154926
28.7,0.154692
28.8,0.154458
28.9,0.154224
29,0.15399
29.1,0.153756
29.2,0.153522
29.3,0.153288
29.4,0.153054
29.5,0.15282
29.6,0.152586
29.7,0.152352
29.8,0.152118
29.9,0.151884
30,0.15165
30.1,0.151416
30.2,0.151182
30.3,0.150948
30.4,0.150714
30.5,0.15048
30.6,0.150246
30.7,0.150012
30.8,0.149778
30.9,0.149544
31,0.14931
31.1,0.149076
31.2,0.148842
31.3,0.148608
31.4,0.148374
31.5,0.14814
31.6,0.147906
31.7,0.147672
31.8,0.147438
31.9,0.147204
32,0.14697
32.1,0.146736
32.2,0.146502
32.3,0.146268
32.4,0.146034
32.5,0.1458
32.6,0.145566
32.7,0.145332
32.8,0.145098
32.9,0.144864
33,0.14463
33.1,0.144396
33.2,0.144162
33.3,0.143928
33.4,0.143694
33.5,0.14346
33.6,0.143226
33.7,0.142992
33.8,0.142758
33.9,0.142524
34,0.14229
34.1,0.142056
34.2,0.141822
34.3,0.141588
34.4,0.141354
34.5,0.14112
34.6,0.140886
34.7,0.140652
34.8,0.140418
34.9,0.140184
35,0.13995
35.1,0.139716
35.2,0.139482
35.3,0.139248
35.4,0.139014
35.5,0.13878
35.6,0.138546
35.7,0.138312
35.8,0.138078
35.9,0.137844
36,0.13761
36.1,0.137376
36.2,0.137142
36.3,0.136908
36.4,0.136674
36.5,0.13644
36.6,0.136206
36.7,0.135972
36.8,0.135738
36.9,0.135504
37,0.13527
37.1,0.135036
37.2,0.134802
37.2506009615385,0.13468359375
37.3506009615385,0.13611359375
37.4506009615385,0.13754359375
37.5506009615385,0.13897359375
37.6506009615385,0.14040359375
37.7506009615385,0.14183359375
37.8506009615385,0.14326359375
37.9506009615385,0.14469359375
38.0506009615385,0.14612359375
38.1506009615385,0.14755359375
38.2506009615385,0.14898359375
38.3506009615385,0.15041359375
38.4506009615385,0.15184359375
38.5506009615385,0.15327359375
38.6506009615385,0.15470359375
38.7506009615385,0.15613359375
38.8506009615385,0.15756359375
38.9506009615385,0.15899359375
39.0506009615385,0.16042359375
39.1506009615385,0.16185359375
39.2506009615385,0.16328359375
39.3506009615385,0.16471359375
39.4506009615385,0.16614359375
39.5506009615385,0.16757359375
39.6506009615385,0.16900359375
39.7506009615385,0.17043359375
39.8506009615385,0.17186359375
39.9506009615385,0.17329359375
40.0506009615385,0.17472359375
40.1506009615385,0.17615359375
40.2506009615385,0.17758359375
40.3506009615385,0.17901359375
40.4506009615385,0.18044359375
40.5506009615385,0.18187359375
40.6506009615385,0.18330359375
40.7506009615385,0.18473359375
40.8506009615385,0.18616359375
40.9506009615385,0.18759359375
41.0506009615385,0.18902359375
41.1506009615385,0.19045359375
41.2506009615385,0.19188359375
41.3506009615385,0.19331359375
41.4506009615385,0.19474359375
41.5506009615385,0.19617359375
41.6506009615385,0.19760359375
41.7506009615385,0.19903359375
41.8506009615385,0.20046359375
41.9506009615385,0.20189359375
42.0506009615385,0.20332359375
42.1506009615385,0.20475359375
42.2506009615385,0.20618359375
42.3506009615385,0.20761359375
42.4506009615385,0.20904359375
42.5506009615385,0.21047359375
42.6506009615385,0.21190359375
42.7506009615385,0.21333359375
42.8506009615385,0.21476359375
42.9506009615385,0.21619359375
43.0506009615385,0.21762359375
43.1506009615385,0.21905359375
43.2506009615385,0.22048359375
43.3506009615385,0.22191359375
43.4506009615385,0.22334359375
43.5506009615385,0.22477359375
43.6506009615385,0.22620359375
43.7506009615385,0.22763359375
43.8506009615385,0.22906359375
43.9506009615385,0.23049359375
44.0506009615385,0.23192359375
44.1506009615385,0.23335359375
44.2506009615385,0.23478359375
44.3506009615385,0.23621359375
44.4506009615385,0.23764359375
44.5506009615385,0.23907359375
44.6506009615385,0.24050359375
44.7506009615385,0.24193359375
44.8506009615385,0.24336359375
44.9506009615385,0.24479359375
45.0506009615385,0.24622359375
45.1506009615385,0.24765359375
45.2506009615385,0.24908359375
45.3506009615385,0.25051359375
45.4506009615385,0.25194359375
45.5506009615385,0.25337359375
45.6506009615385,0.25480359375
45.7506009615385,0.25623359375
45.8506009615385,0.25766359375
45.9506009615385,0.25909359375
46.0506009615385,0.26052359375
46.1506009615385,0.26195359375
46.2506009615385,0.26338359375
46.3506009615385,0.26481359375
46.4506009615385,0.26624359375
46.5506009615385,0.26767359375
46.6506009615385,0.26910359375
46.7506009615385,0.27053359375
46.8506009615385,0.27196359375
46.9506009615385,0.27339359375
47.0506009615385,0.27482359375
47.1506009615385,0.27625359375
47.2506009615385,0.27768359375
47.3506009615385,0.27911359375
47.4506009615385,0.28054359375
47.5506009615385,0.28197359375
47.6506009615385,0.28340359375
47.7506009615385,0.28483359375
47.8506009615385,0.28626359375
47.9506009615385,0.28769359375
48.0506009615385,0.28912359375
48.1506009615385,0.29055359375
48.2506009615385,0.29198359375
48.3506009615385,0.29341359375
48.4506009615385,0.29484359375
48.5506009615385,0.29627359375
48.6506009615385,0.29770359375
48.7506009615385,0.29913359375
48.8506009615385,0.30056359375
48.9506009615385,0.30199359375
49.0506009615385,0.30342359375
49.1506009615385,0.30485359375
49.2506009615385,0.30628359375
49.3506009615385,0.30771359375
49.4506009615385,0.30914359375
49.5506009615385,0.31057359375
49.6506009615385,0.31200359375
49.7506009615385,0.31343359375
49.8506009615385,0.31486359375
49.9506009615385,0.31629359375
50.0506009615385,0.31772359375
50.1506009615385,0.31915359375
50.2506009615385,0.32058359375
50.3506009615385,0.32201359375
50.4506009615385,0.32344359375
50.5506009615385,0.32487359375
50.6506009615385,0.32630359375
50.7506009615385,0.32773359375
50.8506009615385,0.32916359375
50.9506009615385,0.33059359375
51.0506009615385,0.33202359375
51.1506009615385,0.33345359375
51.2506009615385,0.33488359375
51.3506009615385,0.33631359375
51.4506009615385,0.33774359375
51.5506009615385,0.33917359375
51.6506009615385,0.34060359375
51.7506009615385,0.34203359375
51.8506009615385,0.34346359375
51.9506009615385,0.34489359375
52.0506009615385,0.34632359375
52.1506009615385,0.34775359375
52.2506009615385,0.34918359375
52.3506009615385,0.35061359375
52.4506009615385,0.35204359375
52.5506009615385,0.35347359375
52.6506009615385,0.35490359375
52.7506009615385,0.35633359375
52.8506009615385,0.35776359375
52.9506009615385,0.35919359375
53.0506009615385,0.36062359375
53.1506009615385,0.36205359375
53.2506009615385,0.36348359375
53.3506009615385,0.36491359375
53.4506009615385,0.36634359375
53.5506009615385,0.36777359375
53.6506009615385,0.36920359375
53.7506009615385,0.37063359375
53.8506009615385,0.37206359375
53.9506009615385,0.37349359375
54.0506009615385,0.37492359375
54.1506009615385,0.37635359375
54.2506009615385,0.37778359375
54.3506009615385,0.37921359375
54.4506009615385,0.38064359375
54.5506009615385,0.38207359375
54.6506009615385,0.38350359375
54.7506009615385,0.38493359375
54.8506009615385,0.38636359375
54.9506009615385,0.38779359375
55.0506009615385,0.38922359375
55.1506009615385,0.39065359375
55.2506009615385,0.39208359375
55.3506009615385,0.39351359375
55.4506009615385,0.39494359375
55.5506009615385,0.39637359375
55.6506009615385,0.39780359375
55.7506009615385,0.39923359375
55.8506009615385,0.40066359375
55.9506009615385,0.40209359375
56.0506009615385,0.40352359375
56.1506009615385,0.40495359375
56.2506009615385,0.40638359375
56.3506009615385,0.40781359375
56.4506009615385,0.40924359375
56.5506009615385,0.41067359375
56.6506009615385,0.41210359375
56.7506009615385,0.41353359375
56.8506009615385,0.41496359375
56.9506009615385,0.41639359375
57.0506009615385,0.41782359375
57.1506009615385,0.41925359375
57.2506009615385,0.42068359375
57.3506009615385,0.42211359375
57.4506009615385,0.42354359375
57.5506009615385,0.42497359375
57.6506009615385,0.42640359375
57.7506009615385,0.42783359375
57.8506009615385,0.42926359375
57.9506009615385,0.43069359375
58.0506009615385,0.43212359375
58.1506009615385,0.43355359375
58.2506009615385,0.43498359375
