province,Total,size_1_99,size_100_499,size_500,year
Newfoundland and Labrador,17335,17090,233,12,2012
Prince Edward Island,5615,5547,64,4,2012
Nova Scotia,29686,29179,468,39,2012
New Brunswick,24992,24582,386,24,2012
Quebec,236688,232531,3830,327,2012
Ontario,389116,381001,7437,678,2012
Manitoba,35980,35298,622,60,2012
Saskatchewan,38749,38264,457,28,2012
Alberta,154495,151866,2397,232,2012
British Columbia,171557,169178,2218,161,2012
Yukon,1568,1549,18,1,2012
Northwest Territories,1294,1263,29,2,2012
Nunavut,465,455,10,0,2012
Canada,1107540,1087803,18169,1568,2012
Newfoundland and Labrador,17526,17174,307,45,2015
Prince Edward Island,5935,5838,83,14,2015
Nova Scotia,29922,29298,556,68,2015
New Brunswick,25509,25002,443,64,2015
Quebec,239966,235075,4301,590,2015
Ontario,416801,407175,8437,1189,2015
Manitoba,38712,37776,829,107,2015
Saskatchewan,41185,40453,644,88,2015
Alberta,169305,165792,3076,437,2015
British Columbia,178966,176014,2623,329,2015
Yukon,1757,1723,34,0,2015
Northwest Territories,1658,1606,51,1,2015
Nunavut,736,704,31,1,2015
Canada,1167978,1143630,21415,2933,2015
