"","R0","VE","outcome","interv_start","interv_cvg_rate","percentMean"
"1","Moderate transmissibility","High efficacy","Deaths",-28,150,8.19978393628628
"2","Moderate transmissibility","High efficacy","Deaths",-28,300,25.4026575710848
"3","Moderate transmissibility","High efficacy","Deaths",-28,600,55.7663527352494
"4","Moderate transmissibility","High efficacy","Deaths",-28,1200,61.3113872738286
"5","Moderate transmissibility","High efficacy","Deaths",-14,150,5.85013189295505
"6","Moderate transmissibility","High efficacy","Deaths",-14,300,15.1541504138649
"7","Moderate transmissibility","High efficacy","Deaths",-14,600,39.5908963712294
"8","Moderate transmissibility","High efficacy","Deaths",-14,1200,60.7827818493956
"9","Moderate transmissibility","High efficacy","Deaths",0,150,0
"10","Moderate transmissibility","High efficacy","Deaths",0,300,14.3625196274966
"11","Moderate transmissibility","High efficacy","Deaths",0,600,26.9093504634979
"12","Moderate transmissibility","High efficacy","Deaths",0,1200,54.2219753279661
"13","Moderate transmissibility","High efficacy","Deaths",14,150,0
"14","Moderate transmissibility","High efficacy","Deaths",14,300,7.09629954445623
"15","Moderate transmissibility","High efficacy","Deaths",14,600,13.6745772575266
"16","Moderate transmissibility","High efficacy","Deaths",14,1200,31.8317132602847
"17","Moderate transmissibility","High efficacy","Deaths",28,150,0
"18","Moderate transmissibility","High efficacy","Deaths",28,300,0
"19","Moderate transmissibility","High efficacy","Deaths",28,600,3.00961306145638
"20","Moderate transmissibility","High efficacy","Deaths",28,1200,10.3581420286489
"21","Moderate transmissibility","High efficacy","Hospitalized",-28,150,0
"22","Moderate transmissibility","High efficacy","Hospitalized",-28,300,14.53984564944
"23","Moderate transmissibility","High efficacy","Hospitalized",-28,600,43.2324503157802
"24","Moderate transmissibility","High efficacy","Hospitalized",-28,1200,53.8430348745241
"25","Moderate transmissibility","High efficacy","Hospitalized",-14,150,0
"26","Moderate transmissibility","High efficacy","Hospitalized",-14,300,7.83876836800751
"27","Moderate transmissibility","High efficacy","Hospitalized",-14,600,26.8099024224392
"28","Moderate transmissibility","High efficacy","Hospitalized",-14,1200,51.4092521517406
"29","Moderate transmissibility","High efficacy","Hospitalized",0,150,0
"30","Moderate transmissibility","High efficacy","Hospitalized",0,300,2.24377333851911
"31","Moderate transmissibility","High efficacy","Hospitalized",0,600,20.6794191527096
"32","Moderate transmissibility","High efficacy","Hospitalized",0,1200,44.061078595718
"33","Moderate transmissibility","High efficacy","Hospitalized",14,150,0
"34","Moderate transmissibility","High efficacy","Hospitalized",14,300,0
"35","Moderate transmissibility","High efficacy","Hospitalized",14,600,4.88031512766562
"36","Moderate transmissibility","High efficacy","Hospitalized",14,1200,20.5619024729862
"37","Moderate transmissibility","High efficacy","Hospitalized",28,150,0
"38","Moderate transmissibility","High efficacy","Hospitalized",28,300,0
"39","Moderate transmissibility","High efficacy","Hospitalized",28,600,0
"40","Moderate transmissibility","High efficacy","Hospitalized",28,1200,2.93892013700039
"41","Moderate transmissibility","Low efficacy","Deaths",-28,150,0
"42","Moderate transmissibility","Low efficacy","Deaths",-28,300,0
"43","Moderate transmissibility","Low efficacy","Deaths",-28,600,8.65835824756013
"44","Moderate transmissibility","Low efficacy","Deaths",-28,1200,13.2795117419531
"45","Moderate transmissibility","Low efficacy","Deaths",-14,150,0
"46","Moderate transmissibility","Low efficacy","Deaths",-14,300,0
"47","Moderate transmissibility","Low efficacy","Deaths",-14,600,0.298436474090717
"48","Moderate transmissibility","Low efficacy","Deaths",-14,1200,10.5959698069135
"49","Moderate transmissibility","Low efficacy","Deaths",0,150,0
"50","Moderate transmissibility","Low efficacy","Deaths",0,300,0
"51","Moderate transmissibility","Low efficacy","Deaths",0,600,0
"52","Moderate transmissibility","Low efficacy","Deaths",0,1200,7.29071640938
"53","Moderate transmissibility","Low efficacy","Deaths",14,150,0
"54","Moderate transmissibility","Low efficacy","Deaths",14,300,0
"55","Moderate transmissibility","Low efficacy","Deaths",14,600,0
"56","Moderate transmissibility","Low efficacy","Deaths",14,1200,0
"57","Moderate transmissibility","Low efficacy","Deaths",28,150,0
"58","Moderate transmissibility","Low efficacy","Deaths",28,300,0
"59","Moderate transmissibility","Low efficacy","Deaths",28,600,0
"60","Moderate transmissibility","Low efficacy","Deaths",28,1200,0
"61","Moderate transmissibility","Low efficacy","Hospitalized",-28,150,0
"62","Moderate transmissibility","Low efficacy","Hospitalized",-28,300,0
"63","Moderate transmissibility","Low efficacy","Hospitalized",-28,600,1.90956962072536
"64","Moderate transmissibility","Low efficacy","Hospitalized",-28,1200,6.23572506020963
"65","Moderate transmissibility","Low efficacy","Hospitalized",-14,150,0
"66","Moderate transmissibility","Low efficacy","Hospitalized",-14,300,0
"67","Moderate transmissibility","Low efficacy","Hospitalized",-14,600,0
"68","Moderate transmissibility","Low efficacy","Hospitalized",-14,1200,3.98162771457108
"69","Moderate transmissibility","Low efficacy","Hospitalized",0,150,0
"70","Moderate transmissibility","Low efficacy","Hospitalized",0,300,0
"71","Moderate transmissibility","Low efficacy","Hospitalized",0,600,0
"72","Moderate transmissibility","Low efficacy","Hospitalized",0,1200,6.56749567433817
"73","Moderate transmissibility","Low efficacy","Hospitalized",14,150,0
"74","Moderate transmissibility","Low efficacy","Hospitalized",14,300,0
"75","Moderate transmissibility","Low efficacy","Hospitalized",14,600,0
"76","Moderate transmissibility","Low efficacy","Hospitalized",14,1200,0
"77","Moderate transmissibility","Low efficacy","Hospitalized",28,150,0
"78","Moderate transmissibility","Low efficacy","Hospitalized",28,300,0
"79","Moderate transmissibility","Low efficacy","Hospitalized",28,600,0
"80","Moderate transmissibility","Low efficacy","Hospitalized",28,1200,0
"81","High transmissibility","High efficacy","Deaths",-28,150,0
"82","High transmissibility","High efficacy","Deaths",-28,300,9.79305345510879
"83","High transmissibility","High efficacy","Deaths",-28,600,24.2399938664761
"84","High transmissibility","High efficacy","Deaths",-28,1200,39.4891151887199
"85","High transmissibility","High efficacy","Deaths",-14,150,0
"86","High transmissibility","High efficacy","Deaths",-14,300,4.09446405911449
"87","High transmissibility","High efficacy","Deaths",-14,600,18.5042296884402
"88","High transmissibility","High efficacy","Deaths",-14,1200,36.1684706146607
"89","High transmissibility","High efficacy","Deaths",0,150,0
"90","High transmissibility","High efficacy","Deaths",0,300,2.29504805090743
"91","High transmissibility","High efficacy","Deaths",0,600,10.2507668113137
"92","High transmissibility","High efficacy","Deaths",0,1200,23.5665031583
"93","High transmissibility","High efficacy","Deaths",14,150,0
"94","High transmissibility","High efficacy","Deaths",14,300,0
"95","High transmissibility","High efficacy","Deaths",14,600,0
"96","High transmissibility","High efficacy","Deaths",14,1200,8.27221086205461
"97","High transmissibility","High efficacy","Deaths",28,150,0
"98","High transmissibility","High efficacy","Deaths",28,300,0
"99","High transmissibility","High efficacy","Deaths",28,600,0
"100","High transmissibility","High efficacy","Deaths",28,1200,0
"101","High transmissibility","High efficacy","Hospitalized",-28,150,0
"102","High transmissibility","High efficacy","Hospitalized",-28,300,5.095711425809
"103","High transmissibility","High efficacy","Hospitalized",-28,600,20.9521122061268
"104","High transmissibility","High efficacy","Hospitalized",-28,1200,35.2368523098564
"105","High transmissibility","High efficacy","Hospitalized",-14,150,0
"106","High transmissibility","High efficacy","Hospitalized",-14,300,0
"107","High transmissibility","High efficacy","Hospitalized",-14,600,12.3726849134297
"108","High transmissibility","High efficacy","Hospitalized",-14,1200,31.1776755081955
"109","High transmissibility","High efficacy","Hospitalized",0,150,0
"110","High transmissibility","High efficacy","Hospitalized",0,300,0
"111","High transmissibility","High efficacy","Hospitalized",0,600,3.76723839892364
"112","High transmissibility","High efficacy","Hospitalized",0,1200,17.8756795600607
"113","High transmissibility","High efficacy","Hospitalized",14,150,0
"114","High transmissibility","High efficacy","Hospitalized",14,300,0
"115","High transmissibility","High efficacy","Hospitalized",14,600,0
"116","High transmissibility","High efficacy","Hospitalized",14,1200,0.00576133341737034
"117","High transmissibility","High efficacy","Hospitalized",28,150,0.023821949136394
"118","High transmissibility","High efficacy","Hospitalized",28,300,0
"119","High transmissibility","High efficacy","Hospitalized",28,600,0.00635142640768683
"120","High transmissibility","High efficacy","Hospitalized",28,1200,0.0345110036057903
"121","High transmissibility","Low efficacy","Deaths",-28,150,0
"122","High transmissibility","Low efficacy","Deaths",-28,300,0
"123","High transmissibility","Low efficacy","Deaths",-28,600,0
"124","High transmissibility","Low efficacy","Deaths",-28,1200,0
"125","High transmissibility","Low efficacy","Deaths",-14,150,0
"126","High transmissibility","Low efficacy","Deaths",-14,300,0
"127","High transmissibility","Low efficacy","Deaths",-14,600,0
"128","High transmissibility","Low efficacy","Deaths",-14,1200,0
"129","High transmissibility","Low efficacy","Deaths",0,150,0
"130","High transmissibility","Low efficacy","Deaths",0,600,0
"131","High transmissibility","Low efficacy","Deaths",0,1200,0
"132","High transmissibility","Low efficacy","Deaths",14,150,0
"133","High transmissibility","Low efficacy","Deaths",14,300,0
"134","High transmissibility","Low efficacy","Deaths",14,1200,0
"135","High transmissibility","Low efficacy","Deaths",28,150,0.00923859126984127
"136","High transmissibility","Low efficacy","Deaths",28,300,0.0575086805555556
"137","High transmissibility","Low efficacy","Deaths",28,600,0.0178881448412698
"138","High transmissibility","Low efficacy","Deaths",28,1200,0.0118427579365079
"139","High transmissibility","Low efficacy","Hospitalized",-28,150,0
"140","High transmissibility","Low efficacy","Hospitalized",-28,300,0
"141","High transmissibility","Low efficacy","Hospitalized",-28,600,0
"142","High transmissibility","Low efficacy","Hospitalized",-28,1200,1.23818041168834
"143","High transmissibility","Low efficacy","Hospitalized",-14,150,0
"144","High transmissibility","Low efficacy","Hospitalized",-14,300,0
"145","High transmissibility","Low efficacy","Hospitalized",-14,600,0
"146","High transmissibility","Low efficacy","Hospitalized",-14,1200,0
"147","High transmissibility","Low efficacy","Hospitalized",0,150,0
"148","High transmissibility","Low efficacy","Hospitalized",0,600,0
"149","High transmissibility","Low efficacy","Hospitalized",0,1200,0
"150","High transmissibility","Low efficacy","Hospitalized",14,150,0
"151","High transmissibility","Low efficacy","Hospitalized",14,300,0
"152","High transmissibility","Low efficacy","Hospitalized",14,1200,0
"153","High transmissibility","Low efficacy","Hospitalized",28,150,0.0117475792603519
"154","High transmissibility","Low efficacy","Hospitalized",28,300,0.0117410452462943
"155","High transmissibility","Low efficacy","Hospitalized",28,600,0.0162856085835611
"156","High transmissibility","Low efficacy","Hospitalized",28,1200,0.00941144431693457
